artist,origin
Sparta,"El Paso, Texas"
Muse,"Teignmouth, Devon, England"
Finch,"Temecula, California, Estados Unidos"
Transplants,"Los Angeles, California, United States[1]"
Rooney,"Los Angeles, California, U.S."
The Cure,"Crawley, England"
AFI,"Ukiah, California, U.S."
Jimmy Eat World,"Mesa, Arizona, U.S."
Black Sabbath,"Birmingham, England"
Yes,"London, England"
Joe Satriani,"Westbury, New York, U.S."
Iron Maiden,"London, England"
NOFX,"Los Angeles, California, U.S."
Coheed and Cambria,"Nyack, New York, U.S."
King Crimson,"London, England"
Radiohead,"Abingdon, Oxfordshire, England"
Big Black,"Evanston, Illinois, U.S."
Filter,"Cleveland, Ohio, U.S."
Melvins,"Montesano, Washington, U.S."
Pink Floyd,"London, England"
The New Pornographers,"Vancouver, British Columbia, Canada"
Regurgitator,"Brisbane, Queensland, Australia"
Sunny Day Real Estate,"Seattle, Washington, U.S."
...And You Will Know Us by the Trail of Dead,"Austin, Texas, U.S."
Children of Bodom,"Espoo, Finland"
Audioslave,"Glendale, California, U.S."
Led Zeppelin,"London, England"
Less Than Jake,"Gainesville, Florida, U.S."
Alexisonfire,"St. Catharines, Ontario, Canada"
Rammstein,"Berlin, Germany"
Thrice,"Irvine, California, U.S."
Lostprophets,"Pontypridd, Wales"
New Found Glory,"Coral Springs, Florida, U.S."
Placebo,"London, England"
Box Car Racer,"San Diego, California, U.S."
Thursday,"New Brunswick, New Jersey, U.S."
Million Dead,"London, England"
The Jesus Lizard,"Austin, Texas, U.S."
The Offspring,"Garden Grove, California, U.S.[2]"
Taproot,"Ann Arbor, Michigan, U.S."
Television,"New York City, New York, U.S."
Emery,"Rock Hill, South Carolina, U.S."
Damien Rice,"Celbridge, Ireland"
Hatebreed,"Bridgeport, Connecticut, U.S."
Cradle of Filth,"Suffolk, England"
KISS,"New York City, U.S."
The Polyphonic Spree,"Dallas, Texas, United States"
Cake,"Sacramento, California, U.S."
Dinosaur Jr.,"Amherst, Massachusetts, U.S."
U2,"Dublin, Ireland"
The Clash,"London, England"
Darkthrone,"Kolbotn, Akershus, Norway"
Ramones,"Forest Hills, Queens, New York, U.S."
Comets on Fire,"Santa Cruz, California, U.S."
Fenix TX,"Houston, Texas, U.S."
Incubus,"Calabasas, California, U.S."
Feeder,"Newport, Wales"
PJ Harvey,"Bridport, Dorset, England"
Sebadoh,"Northampton, Massachusetts, U.S."
Blind Faith,"Ripley, Surrey, England"
Van Halen,"Pasadena, California, U.S."
Damageplan,"Dallas, Texas, U.S."
Sugarcult,"Santa Barbara, California, United States"
Devo,"Akron, Ohio, U.S."
The Who,"London, England"
Yeah Yeah Yeahs,"New York City, U.S."
Sum 41,"Ajax, Ontario, Canada"
Fall Out Boy,"Wilmette, Illinois, U.S."
R.E.M.,"Athens, Georgia, U.S."
Steve Vai,"Carle Place, New York, U.S."
MC5,"Lincoln Park, Michigan, U.S."
Taking Back Sunday,"Amityville, New York, U.S."
Oasis,"Manchester, England"
Lynyrd Skynyrd,"Jacksonville, Florida, U.S."
Clinic,"Crosby, Liverpool, England"
The Allman Brothers Band,"Jacksonville, Florida, U.S."
Iced Earth,"Tampa, Florida, U.S."
Phish,"Burlington, Vermont, U.S."
Cream,"London, England"
Electric Six,"Detroit, Michigan, U.S."
Dark Angel,"Downey, California, U.S."
Sepultura,"Belo Horizonte, Minas Gerais, Brazil"
Exodus,"Richmond, California, U.S."
Big Star,"Memphis, Tennessee, U.S."
Silverchair,"Newcastle, New South Wales, Australia"
Adolescents,"Fullerton, California, United States"
Meat Puppets,"Phoenix, Arizona, U.S."
Van Morrison,"Belfast, Northern Ireland"
The Flaming Lips,"Oklahoma City, Oklahoma, U.S."
Foo Fighters,"Seattle, Washington, U.S."
Blindside,"Stockholm, Sweden"
The Velvet Underground,"New York City, New York, U.S."
Rancid,"Berkeley, California, U.S."
Beck,"Los Angeles, California, U.S."
Queen,"London, England"
Joy Division,"Salford, England"
The Strokes,"New York City, U.S."
Grandaddy,"Modesto, California, U.S."
Dashboard Confessional,"Boca Raton, Florida, U.S."
Starsailor,"Warrington, Cheshire, England"
X-Ray Spex,"London, England"
Faith No More,"San Francisco, California, U.S."
The Pogues,"King's Cross, London, England"
Porcupine Tree,"Hemel Hempstead, Hertfordshire, England"
Testament,"Berkeley, California, U.S."
Atheist,"Sarasota, Florida, U.S."
The White Stripes,"Detroit, Michigan, U.S."
Sonic Youth,"New York City, U.S."
Billy Talent,"Mississauga, Ontario, Canada"
Judas Priest,"Birmingham, England[1]"
Zwan,"Chicago, Illinois"
Jane's Addiction,"Los Angeles, California, U.S."
Coldplay,"London, England"
Tori Amos,"Newton, North Carolina, U.S."
Tonic,"Los Angeles, California, U.S."
The Stooges,"Ann Arbor, Michigan, U.S."
The Wildhearts,"Newcastle, England"
Nothingface,"Washington D.C., U.S."
My Dying Bride,"Bradford, West Yorkshire, England"
Les Savy Fav,"Providence, Rhode Island, U.S."
Interpol,"New York City, U.S."
From Autumn to Ashes,"Long Island, New York, U.S."
The Libertines,"London, England"
Hope Of The States,"Chichester, England"
The Thrills,"Dublin, Ireland"
Doves,"Wilmslow, Cheshire, England"
Aereogramme,"Glasgow, Scotland"
The Bled,"Tucson, Arizona, U.S."
Anthrax,"Queens, New York City, U.S."
Jethro Tull,"Blackpool, Lancashire, England"
The Jimi Hendrix Experience,"London, England"
The Rasmus,"Helsinki, Finland"
Atreyu,"Yorba Linda, California, U.S."
Jason Mraz,"Mechanicsville, Virginia, U.S."
Probot,"Alexandria, Virginia, U.S."
Slint,"Louisville, Kentucky, U.S."
dEUS,"Antwerp, Belgium"
Dead Poetic,"Dayton, Ohio, U.S."
Bright Eyes,"Omaha, Nebraska, United States"
The Early November,"Hammonton, New Jersey, U.S."
Eels,"Los Feliz, Los Angeles, California, U.S."
The Beatles,"Liverpool, England"
AC/DC,"Sydney, Australia"
Helloween,"Hamburg, West Germany"
The Jam,"Woking, Surrey, England"
Cursive,"Omaha, Nebraska, United States"
Sonata Arctica,"Kemi, Finland"
Mudvayne,"Peoria, Illinois, U.S."
The Hives,"Fagersta, Sweden"
Jack Johnson,"Hauula, Hawaii, U.S."
David Gray,"Solva, Pembrokeshire, Wales"
John Lennon,"Liverpool, England"
Love,"Los Angeles, California, U.S."
Neil Young,"Winnipeg, Manitoba, Canada"
Eighteen Visions,"Orange County, California, U.S."
Cyndi Lauper,"Brooklyn, New York, U.S."
Ani DiFranco,"Buffalo, New York, US"
Napalm Death,"Meriden, West Midlands, England"
The Afghan Whigs,"Cincinnati, Ohio, U.S."
David Bowie,"London, England"
Misfits,"Lodi, New Jersey, U.S."
Hell Is For Heroes,"Camden, London, England"
The Black Crowes,"Atlanta, Georgia, U.S."
Fleetwood Mac,"London, England"
The Killers,"Las Vegas, Nevada, U.S."
Billy Joel,"Hicksville, New York, U.S."
The Smiths,"Manchester, England"
Jairus,"Folkestone, England"
Glassjaw,"Hempstead, New York, U.S."
Fugazi,"Washington, D.C., U.S."
Magazine,"Manchester, England"
Cult of Luna,"Umeå, Sweden"
Primus,"El Sobrante, California, U.S."
Stereolab,"London, England"
Operation Ivy,"Berkeley, California, U.S."
Nick Drake,"Tanworth-in-Arden, England"
Lou Reed,"Freeport, New York, U.S."
Franz Ferdinand,"Glasgow, Scotland"
The Rolling Stones,"London, England"
The Zombies,"St Albans, Hertfordshire, England"
Hot Hot Heat,"Victoria, British Columbia, Canada"
Senses Fail,"Ridgewood, New Jersey, U.S."
Morbid Angel,"Tampa, Florida, U.S."
Blur,"London, England"
The Music,"Kippax, West Yorkshire, England"
The Apples in Stereo,"Denver, Colorado, U.S."
Modest Mouse,"Issaquah, Washington, U.S."
Joey Ramone,"Queens, New York City, U.S."
Cannibal Corpse,"Buffalo, New York, U.S."
Local H,"Zion, Illinois, U.S."
Chimaira,"Cleveland, Ohio, U.S."
Burzum,"Bergen, Norway"
Genesis,"Godalming, Surrey, England"
The Movielife,"Long Island, New York, U.S."
NoMeansNo,"Victoria, British Columbia, Canada"
Andrew W.K.,"Ann Arbor, Michigan, U.S."
of Montreal,"Athens, Georgia, U.S."
The Shins,"Albuquerque, New Mexico, U.S."
Hoobastank,"Agoura Hills, California, U.S."
Supertramp,"London, England"
Gorguts,"Sherbrooke, Quebec, Canada"
The Police,"London, England"
Elliott Smith,"Omaha, Nebraska, U.S."
Manic Street Preachers,"Blackwood, Caerphilly, Wales"
Brian Wilson,"Hawthorne, California, U.S."
Fear,"Los Angeles, California"
The Magnetic Fields,"Boston, Massachusetts, U.S."
Derek and the Dominos,"London, England"
Mostly Autumn,"York, North Yorkshire, England"
Primal Scream,"Glasgow, Scotland"
The Blood Brothers,"Redmond, Washington"
Jars Of Clay,"Greenville, Illinois, U.S."
Wire,"London, England"
Dimmu Borgir,"Jessheim, Norway"
Delays,"Southampton, England"
The Unicorns,"Montreal, Quebec"
Belle and Sebastian,"Glasgow, Scotland"
Immortal,"Bergen, Norway"
Elbow,"Bury, Greater Manchester, England"
