artist,title,artist_id,master_id,main_release_id,release_country,year,album_length,tracks,release_type,genres,styles,artist_profile
Blasfeme,Black Legion,8287884,0,32987169,UK,2024,32.33,7,"['Album', 'Limited Edition']",['Rock'],['Black Metal'],"Blasfeme is a two piece black metal force, fuelled by heavy metal influences and negative thoughts. From Bristol, UK. "
Dawnwalker,The Unknowing,7622357,0,32331393,UK,2024,0.0,9,"['LP', 'Album']",['Rock'],['Prog Rock'],"Post-Metal/Rock band from London, UK."
Trash Boat,Heaven Can Wait,3896679,0,32921493,UK,2024,36.03,11,"['12""', '33 ⅓ RPM', 'Album', 'Stereo']",['Rock'],['Hardcore'],
Caelestra,Bastion,8367186,0,32682639,UK,2024,48.65,6,['Album'],['Rock'],"['Progressive Metal', 'Post-Metal', 'Black Metal', 'Death Metal']","Caelestra. Bristol, UK. The creation of Fever Sea guitarist/vocalist Frank Harper. Soaring post, black and progressive metal infused with 80's sci-fi synthesizers.

"
Other Half,Dark Ageism,4456943,0,31040566,UK,2024,0.0,12,"['LP', 'Album', 'Limited Edition']",['Rock'],"['Post-Hardcore', 'Punk']",
Ildganger,For Hver Tanke Mister Sj​æ​len Atter Farve,12767564,0,30251867,UK,2024,0.0,5,"['LP', 'Album', 'Limited Edition']",['Rock'],['Black Metal'],"Black Metal project from Aarhus, Denmark."
Gnod,Spot Land,1107254,0,30624286,UK,2024,0.0,5,"['LP', 'Album', 'Limited Edition']","['Electronic', 'Rock']","['Alternative Rock', 'Industrial', 'Drone', 'Minimal', 'Psychedelic Rock', 'Tribal']","Gnod are a British rock band from Salford, Greater Manchester, England. Formed in 2006, the band was described in a review of its 2011 release Ingnodwetrust as ""a collective from Manchester with an ever-rotating list of members."" Its current lineup since 2012 is made up of key members Paddy Shine, Chris Haslam, Marlene Ribeiro, Alex Macarte and Andy Blundell, with a rotating cast of players, including drummers Jesse Webb and John Perry and vocalist Neil Francis."
Ilat Mahru,Incipit Akkadian,12679967,0,30173384,UK,2024,34.33,4,"['Mini-Album', 'Limited Edition']",['Rock'],['Black Metal'],
Perseus,Into The Silence,220153,0,30422189,UK,2024,44.37,11,"['Album', 'Limited Edition']",['Rock'],"['Heavy Metal', 'Power Metal']",Heavy/power metal band from Italy
Thank,I Have A Physical Body That Can Be Harmed,6092482,0,32117175,UK,2024,0.0,10,"['LP', 'Album']","['Hip Hop', 'Rock']","['Noise Rock', 'Post-Punk', 'No Wave']","Noise rock / post-punk / no wave band from Leeds, United Kingdom."
Lungtoucher,Sin Eater,7981115,0,30252140,UK,2024,0.0,9,"['LP', 'Album', 'Limited Edition', 'Numbered']",['Rock'],"['Black Metal', 'Blackgaze', 'Post-Punk']",One man black metal from South West England
C Turtle,Expensive Thrills,11916422,0,30035518,UK,2024,0.0,10,"['LP', 'Album', 'Limited Edition']",['Rock'],['Indie Rock'],"	
C Turtle is a London based lo-fi rock group originally formed by Cole Flynn Quirke as a solo project releasing two solo albums before being joined by members Joel Kerr, Mimi Mcveigh and Finlay Burrows. Joel left the band in 2023 and he was replaced by Jimmy Gurvercin on the drums.
The band record all of their music on Tascam four-track cassette recorders to ensure a lo-fi quality."
Lucta,Eterna Lotta,6878726,0,31384628,UK,2024,0.0,9,"['LP', '45 RPM', 'Album']",['Rock'],"['Hardcore', 'Punk']","Hardcore Punk band from Milano - Sondrio, Italy."
Turin,The Unforgiving Reality In Nothing,14828089,0,32964687,UK,2024,0.0,10,['Album'],['Rock'],['Deathcore'],
Ink & Fire,Emblazoned Visions Yield Eternity,12250363,0,31239661,UK,2024,0.0,10,"['LP', 'Album', 'Limited Edition']",['Rock'],['Black Metal'],"Black metal from Chicago, USA."
Campfire Social,They Sound The Same Underwater,7295436,0,31595047,UK,2024,42.0,11,"['LP', 'Album']",['Rock'],['Emo'],"Emo/Indie Collective, Campfire Social, craft a dynamically rich sound with bright harmonies layered over hypnotic melodies that help to underline a continued theme of self deprecation with a feeling of hope. Believing that music is the best form of therapy there is, a positive message prevails; we’re better together.

Thomas Hyndman - Guitar / Vocals
Carrie Hyndman - Keys / Glock / Vocals
Chris Done - Guitar / Vocals
Michael Deponeo - Guitar / Vocals
Rhys Mather - Bass
Ben Matthews - Drums
"
Sans Froid,"Hello, Boil Brain",15246549,0,32112297,UK,2024,29.53,8,['Album'],['Rock'],"['Art Rock', 'Alternative Rock', 'Post Rock']",
Thumbsucker,Infinite Regret,15018124,0,31611301,UK,2024,17.9,20,"['LP', '45 RPM', 'Album']",['Rock'],"['Power Violence', 'Hardcore', 'Punk']","Hardcore powerviolence band from Leicester, UK"
Flamebearer,Brazen,10818784,0,30650458,UK,2024,0.0,9,"['Album', 'Limited Edition']",['Rock'],"['Heavy Metal', 'Stoner Rock']","Flamebearer are from London and a four-piece heavy rock explosion.
"
Cincinatti Bowtie,Chronicles of the Damned,9475702,0,31322250,UK,2024,0.0,14,['Album'],['Rock'],['Deathcore'],
Svitogor,The Howling Void,14041978,0,29507386,UK,2024,60.53,10,"['Album', 'Stereo']",['Rock'],['Black Metal'],"Svitogor is a Croatian Black Metal band founded in 2002, currently based in the U.K."
Paul McCartney,Liverpool Sound Collage,35301,0,14331959,UK & Europe,2000,58.3,5,['Album'],"['Electronic', 'Rock']","['Dub', 'Downtempo']","Sir James Paul McCartney CH MBE (born 18 June 1942 in Liverpool, England) is a British singer, composer/songwriter, and multi-instrumentalist most famous for being a member of [a=The Beatles]. He is also a published poet, painter, philanthropist, animal rights activist, and multi-media executive/producer. Sir Paul McCartney has been recognised by every music and entertainment association, including Guinness Book, as the most successful and popular composer/songwriter/entertainer in the history of popular music.
After the Beatles disbanded, he debuted as a solo artist with the 1970 album ""[m=39887]"" and formed the band [a=Wings (2)] with his first wife, Linda, and [a=Denny Laine]. He resumed his solo career after Wings broke up in April 1981.
McCartney received appointment as Member of the Order of the British Empire in 1965 and, in 1997, McCartney was knighted for services to music.
He was inducted into the Rock and Roll Hall of Fame in 1988 as a member of the Beatles and again as a solo artist in 1999. On 9 February 2012, he was honoured with the 2.460th star on the Hollywood Walk of Fame.
Widower of [a=Linda McCartney]. Stepfather of [a=Heather McCartney] ([a=Linda Eastman]'s daughter from her first marriage whom he later adopted) and biological father to [a=Mary McCartney], [a=Stella McCartney], [a=James McCartney]. In July 2002, he married [a=Heather Mills] with whom they had a daughter in 2003, Beatrice Milly. They separated in April 2006. On 9 October 2011, he married Nancy Shevell. Son of [a=James McCartney (2)] and brother of [a=Michael McCartney]."
Karnataka,The Storm,1420825,0,1727511,UK,2000,57.3,10,['Album'],['Rock'],"['Folk Rock', 'Prog Rock']","Progressive Rock band from Swansea, Wales, UK"
Sol Invictus,Trieste,49848,0,237520,UK,2000,60.47,17,['Album'],"['Electronic', 'Rock']","['Modern Classical', 'Neofolk']","After playing in British punk band [a=Crisis (2)], post punk act [a=Death In June] and his own personal project [a=Above The Ruins], Tony Wakeford founded Sol Invictus in 1987, involving [a=Ian Read] and shortly later [a=Karl Blake] of [a=Lemon Kittens] and [a=Shock Headed Peters]. The music of Sol Invictus on the first recordings was a mixture of acoustic and electronic sounds, creating some epic and dramatic songs which stand against the ""decadence"" of the West and of modern society. This sound characterizes the first three albums, ""Against The Modern World"" (1988), ""In The Jaws Of The Serpent"" (1989) and ""Lex Talionis"" (1990). In 1991 Ian Read left the band to form [a=Fire + Ice], and Wakeford took the sound of Sol Invictus progressively more towards a dark folk approach with changing line-up, such as violinist [a=Matt Howden] and singer and instrumentist [a=Sally Doherty]. Wakeford's recent lyrics tended away from anti-modernism towards more personal themes. Sol Invictus' own self-produced label was [l=S.V.L. Records], then called [l=Cerne] and finally [l=Tursa]."
The Berzerker,Demo's 1998,18529,0,2900736,UK,2000,27.5,12,"['Album', 'Promo']",['Rock'],"['Grindcore', 'Death Metal']","""The Berzerker is about musically fulfilling the statement 'he who makes a beast of himself, is free from the pain of being a man' The Berzerker is the most natural 
form of extremity known on this planet.""

The Berzerker is an Industrial Death Metal/Grindcore band from Melbourne, Australia. Specializing in Speed, Intensity and aggression. The wall of noise produced by the band encompasses very untraditional drums sound supplied in the form of distorted 909 kick drums, and industrial sound scapes with general destructive elements used to enhance sonic assault. With twin vocal attacks and machine gun vocals rhythms the band stop at nothing to express their hatred on humanity. 

The Berzerker was created as a solo studio project in 1995 and went on to release various EP's on labels such as 
Industrial Strength (USA), Speedcore (GERMANY)and Widerstand (AUSTRIA). 1998 saw the initial contact with Earache Records (UK) with the re-mixes of the Morbid Angel tracks Day of Suffering, Abominations and The Ancient Ones. 
The Berzerker was offered a contract with Earache Records for a number of full-length albums shortly afterwards, 
and in 2000 the Self-Titled album was released and the live act was born. 

The bands first film clip for the track ""Reality"" was banned by the ITC (independent television commission) and MTV due to excessive strobe lighting and horrific images, including the appearance of the band. 

In early 2001 the band headed off on a successful 27 show tour of the USA and Canada.

And in 2002/03 the band embarked on a World Tour to support their album Dissimulate this saw over 100 shows played across Australia, USA, Canada, UK, Germany, Denmark, Holland, Belgium, and many more. They did full month long tours with bands such as toured with such bands as Nile, Napalm Death, Strapping Young Lad, Vader, Immolation and many more...

The Berzerker 2004 AD
"
Tom Hingley,Keep Britain Untidy,65105,0,526333,UK,2000,40.53,11,['Album'],['Rock'],"['Acoustic', 'Indie Rock']","Vocals, born 9th July 1965, Oxford, England."
Whipping Boy,Whipping Boy,285540,0,441647,UK,2000,43.32,11,['Album'],['Rock'],"['Alternative Rock', 'Indie Rock']","Irish rock band. Originally active from 1988–1998, they reformed in 2005.

Fearghal McKee (vocals)
Paul Page (guitar)
Myles McDonnell (bass, vocals)
Colm Hassett (drums) 
Killian McGowan (keyboards)"
Geoff Farina,Reverse Eclipse,480330,0,2094438,UK,2000,37.48,13,['Album'],"['Jazz', 'Rock']",[],"American singer and guitarist, best known as frontman of Karate.

Brother of [a608172]."
Ostara,Secret Homeland,161472,0,238628,UK,2000,67.93,12,['Album'],['Rock'],"['Pop Rock', 'Neofolk']",
James Grant,My Thrawn Glory,587239,0,3158255,UK,2000,49.83,13,['Album'],"['Rock', 'Blues']",['Indie Rock'],"James Grant's music career began in 1982 as songwriter and guitarist in [a=Friends Again]. When they split in 1985 he formed [a=Love And Money] and split in 1994. During this time they released four albums. They reformed in 2011.
He then went solo and has released 5 studio albums and has scored the film The Near Room and collaborated with [a=Karen Matheson] on her solo albums. 
"
Miocene,Cellular Memory,958779,0,1809183,UK,2002,40.6,6,['Album'],['Rock'],[],"Forming in 1998, but consolidating their line-up in 2000, Miocene came to the attention of the manager and promoter Keith Eccles of Keith's Back Yard, and after a series of well-reviewed London shows and a self-organised UK tour with the rockers Hundred Reasons,signed to Dante Bonutto's Infernal Records label
On 10 April 2006, it was announced via the band's MySpace page that Miocene had disbanded."
Counting Crows,Hard Candy,262643,0,30989143,UK,2002,0.0,15,"['Album', 'Unofficial Release']",['Rock'],"['Southern Rock', 'Alternative Rock']","Counting Crows is an American rock band from Berkeley, California, formed in 1991."
Howards Alias,The Chameleon Script,918301,0,1393346,UK,2002,37.03,11,['Album'],['Rock'],"['Ska', 'Punk', 'Indie Rock']","Band in the modern UK underground punk scene, formed in 1999 in Southampton, disbanded in 2008. Their music blends an eclectic mix of rock, progressive, punk and ska influences."
The String Cheese Incident,Untying The Not,246185,0,32414148,UK & Europe,2003,54.35,13,['Album'],"['Jazz', 'Rock', 'Folk, World, & Country']","['Bluegrass', 'Alternative Rock', 'Jazz-Rock', 'Country Rock']","The String Cheese Incident (SCI) is an American band from Crested Butte and Telluride, Colorado, formed in 1993. The band is composed of Michael Kang (acoustic/electric mandolin, electric guitar, and violin), Michael Travis (drums and percussion), Bill Nershi (acoustic guitar, lap steel guitar, and electric slide guitar), Kyle Hollingsworth (piano, organ, Rhodes, and accordion), and Keith Moseley (bass guitar), and, since 2004, Jason Hann (auxiliary percussion).

Their music has elements of bluegrass sounds, as well as rock, electronica, calypso, country, funk, jazz, Latin, progressive rock, reggae, psychedelia and Cotton-Eyed Joe unicorn music. All members write original compositions and sing."
Madman Is Absolute,Compliance Is Compulsory,3157151,0,9567732,UK,2002,0.0,7,['Mini-Album'],['Rock'],['Metalcore'],
